index,label_name
1,0-Gas Sender 
2,0x 
3,0x Ecosystem 
4,0xSplits 
5,0xUniverse 
6,1inch 
7,3D Printing 
8,Aave 
9,Aave V1 
10,Aave V2 
11,ABCC 
12,Abracadabra.Money 
13,Across Protocol 
14,adidas 
15,Adult 
16,Advertising 
17,Agriculture 
18,Airdrop-Distributor 
19,Airdrop Hunter 
20,AirSwap 
21,Alameda Research 
22,Alchemist Coin 
23,Alchemix Finance 
24,Algorithmic Stablecoin 
25,Allbit 
26,Ampleforth 
27,Analytics 
28,App Development 
29,Apparel 
30,AR 
31,Arbitrum 
32,Arbitrum Nova 
33,Arbitrum One 
34,ARCx 
35,Armor.fi 
36,Art 
37,Art Blocks 
38,Artificial Intelligence 
39,Artworks 
40,AscendEX 
41,Asset Management 
42,Asset Token 
43,AtomSolutions 
44,Auction 
45,Audius 
46,Augmented Finance 
47,Augur 
48,Aura Finance 
49,Aurora 
50,Authentication 
51,Authereum 
52,Avalanche 
53,Aviation 
54,Axie Infinity 
55,Backrunning Bots 
56,Balancer 
57,Balancer Vested Shareholders 
58,Bancor 
59,Bancor Contract Vulnerability 
60,Band 
61,Banking 
62,Basic Attention Token 
63,Beacon Depositor 
64,Beauty 
65,Beeple 
66,Beverage 
67,Bgogo 
68,Binance 
69,Bitcoin Pegged 
70,Bitcoin Suisse 
71,BitcoinSoV 
72,BitDAO 
73,Bitfinex 
74,Bithumb 
75,BitMart 
76,BitMEX 
77,Bitpie 
78,Bitpoint Hack 
79,Bitstamp 
80,BitTorrent 
81,Bittrex 
82,Blockchain 
83,Blockchain Cuties 
84,Blockchain Phone 
85,Blocked 
86,BlockFi 
87,Bloom 
88,bloXroute 
89,Bounties Network 
90,Bounty 
91,Brave Frontier Heroes 
92,Bridge 
93,Bridged Token 
94,Bugs 
95,BuidlGuidl Builders 
96,Burn 
97,bZx 
98,bZx Exploit 
99,CACHE Gold 
100,Celer Network 
101,Celsius Network 
102,Centre 
103,Chain 
104,Chainlink 
105,Charity 
106,Cheese Wizard 
107,Chibi Fighters 
